Mother,M2n,Father,F2n,CrossNumber,CND,MINNIF1,MAXNIF1,GR,GEOD,GEND
2709,68: 34II,2830J,66: 33II,1,2,3,3,28,134.2,0.636
2816,66: 33II,2893G,64: 32II,1,2,NA,NA,86,223.3,0.545
2830D,66: 33II,2893C,64: 32II,1,2,1,1,72,117.6,0.716
2830D,66: 33II,2895K,66: 31II+1IV,1,0,1,4,88,105.7,0.432
2830D,66: 33II,2890A,67: 30II+1III+1IV,1,1,2,2,57,134.2,0.636
2830J,66: 33II,2893C,64: 32II,1,2,3,4,91,117.6,0.508
2830J,66: 33II,2889D,66: 31II+1III+1I,1,0,0,2,96,133.7,0.455
2830J,66: 33II,2830D,66: 33II,1,0,0,0,90,0,0.508
2830N,65: 31II+1III,2893O,62: 31II,1,3,NA,NA,0,117.6,0.545
2865H,68: 34II,2893G,64: 32II,1,4,NA,NA,0,51.7,0.727
2875G,62: 28II+2III,2830N,65: 31II+1III,1,3,NA,NA,0,65.1,0.508
2875G,62: 28II+2III,2880A,66: 33II,1,4,NA,NA,0,3.7,0.598
2875G,62: 28II+2III,2882A,66: 33II,1y3,4,NA,NA,7.5,94.7,0.444
2875G,62: 28II+2III,2893A,64: 32II,1y2,2,NA,NA,1,71,0.663
2875G,62: 28II+2III,2893O,62: 31II,2,0,NA,NA,10,71,0.663
2875G,62: 28II+2III,2895K,66: 31II+1IV,1,4,NA,NA,20,79.1,0.542
2880A,66: 33II,2830N,65: 31II+1III,1,1,NA,NA,0,67.1,0.636
2880R,66: 33II,2830D,66: 33II,1,0,NA,NA,0,67.1,0.481
2882A,66: 33II,2830D,66: 33II,1,0,3,3,50,130.1,0.636
2889A,68: 34II,2893C,64: 32II,1,4,NA,NA,0,51.6,0.663
2889D,66: 31II+1III+1I,2895K,66: 31II+1IV,1,0,1,1,82,117.6,0.395
2890A,67: 30II+1III+1IV,2895K,66: 31II+1IV,1,1,1,2,82,107.3,0.478
2890A,67: 30II+1III+1IV,2889R,65: 31II+1III,1,2,NA,NA,2,13.9,0.417
2890A,67: 30II+1III+1IV,2889D,66: 31II+1III+1I,1,1,NA,NA,0,13.9,0.299
2890A,67: 30II+1III+1IV,2895H,67: 32II+1III,1,0,NA,NA,0,107.3,0.534
2893G,64: 32II,2830J,66: 33II,1,2,NA,NA,0,117.6,0.455
2893G,64: 32II,2830D,66: 33II,1,2,NA,NA,25,117.6,0.754
2893A,64: 32II,2893O,62: 31II,1,2,NA,NA,0,0,0.455
2895H,67: 32II+1III,2895K,66: 31II+1IV,1,1,NA,NA,94,0,0.462
2895K,66: 31II+1IV,2890A,67: 30II+1III+1IV,"1,2y3",1,NA,NA,0,107.3,0.478
2895K,66: 31II+1IV,2889D,66: 31II+1III+1I,1y2,0,3,3,14,117.6,0.395
2895K,66: 31II+1IV,2709,68: 34II,1,2,NA,NA,0,107.3,0.523
2895K,66: 31II+1IV,2863M,67: 32II+1III,1,1,NA,NA,4,88.6,0.652
